"Взрослые группы";;;;;;;;;
Starter;;on;;on;;;;19.30-21.00;"6720 р./месяц"
Intermediate;on;;;on;;;;19.00-20.30;"6720 р./месяц"
Starter;;on;;on;;;;19.30-21.00;"6720 р./месяц. НАБОР ОТКРЫТ!"
"Starter Intensive";0;;0;;0;on;0;11.15-13.30;"5040 р./месяц"
"Intermediate Intensive";;;;;;on;;9.00-11.15;"5040 р./месяц"
"Starter Intensive";;;;;;on;;14.00-16.15;"5040 р./месяц НАБОР ОТКРЫТ!"
"Подготовка к IELTS";;;on;;;;;17.00-19.15;"7560 р./месяц НАБОР ОТКРЫТ!"
"Подростковые группы";;;;;;;;;
"Upper Intermediate";on;;;0;on;;;17.30-19.00;"6720 р./месяц. НАБОР ОТКРЫТ!"
"Детские группы";;;;;;;;;
"Islands Starter (5-7 лет)";;;;;;on;;11.30-12.15;"1680 р./месяц"
"Islands Starter (5-7 лет)";0;0;0;0;0;on;;13.00-13.45;"1680 р./месяц"
"Islands 1 (7-9 лет)";;on;;on;;;;18.30-19.15;"3360 р./месяц НАБОР ОТКРЫТ!"
"Islands 5 (8-11 лет)";on;;on;;;;;19.00-20.00;"4480 р./месяц"
"Islands 5 (8-11 лет)";;on;;on;;;;19.15-20.15;"4480 р./месяц НАБОР ОТКРЫТ!"
"Islands 5 (8-11 лет)";;;;;;on;;14.00-16.00;"4480 р./месяц НАБОР ОТКРЫТ!"
